#US_MARKET_FISCAL_30D REPORT 5/17/2026
#
#name int_rev debt_gdp usd_reserve_share cbo_deficit xdate sahm tail_risk liq_gap ofr hy_spread dxy_mom oil_price ai_capex geopolitical_risk investor_sentiment

day_01 22.10 70.10 65.0 3.05 90 0.20 1.25 1.02 0.96 605 5.1 81 1.02 0.52 0.39
day_02 22.12 70.12 65.0 3.06 90 0.20 1.26 1.02 0.96 606 5.1 81 1.02 0.52 0.39
day_03 22.14 70.15 65.0 3.06 90 0.20 1.27 1.03 0.96 607 5.1 82 1.02 0.52 0.39
day_04 22.16 70.18 65.0 3.07 90 0.20 1.27 1.03 0.97 608 5.2 82 1.03 0.53 0.38
day_05 22.18 70.20 65.0 3.08 90 0.20 1.28 1.04 0.97 612 5.2 83 1.03 0.54 0.38

day_06 22.20 70.25 64.9 3.09 90 0.20 1.29 1.04 0.97 614 5.2 83 1.03 0.54 0.38
day_07 22.22 70.28 64.9 3.10 90 0.20 1.30 1.05 0.98 616 5.3 84 1.04 0.55 0.37
day_08 22.24 70.30 64.9 3.10 90 0.20 1.31 1.05 0.98 618 5.3 84 1.04 0.55 0.37
day_09 22.26 70.32 64.9 3.11 90 0.20 1.31 1.06 0.98 619 5.3 85 1.04 0.56 0.37
day_10 22.50 70.50 64.9 3.12 90 0.20 1.32 1.06 0.98 620 5.3 85 1.05 0.56 0.37

